date,vibro,oxygen,temperature
1657887385,1023,365,56
1657887387,1023,362,61
1657887389,1023,361,63
1657887391,1023,367,63
1657887393,1023,368,64
1657887395,1022,366,62
1657887397,1023,366,61
1657887399,1023,370,56
1657887401,1023,366,53
1657887403,1023,362,50
1657887405,1023,358,54
1657887407,1023,359,56
1657887409,1023,361,62
1657887411,1023,365,64
1657887413,1023,364,64
1657887415,1023,362,63
1657887417,1023,353,64
1657887419,1023,363,61
1657887421,1023,362,56
1657887424,1023,368,52
1657887426,1023,365,53
1657887428,1023,364,55
1657887430,1023,358,58
1657887432,1023,359,62
1657887434,1023,362,66
1657887436,1023,360,63
1657887438,1023,355,65
1657887440,1022,364,65
1657887442,1023,366,60
1657887444,1023,357,56
1657887446,1023,355,53
1657887448,1023,362,53
1657887450,1023,366,53
1657887452,1023,370,61
1657887454,1023,359,65
1657887456,1023,370,68
1657887459,1023,362,65
1657887461,1023,367,65
1657887463,1023,364,64
1657887465,1023,366,58
1657887467,1022,356,55
1657887469,1023,365,53
1657887471,1022,363,56
1657887473,1023,365,59
1657887475,1023,367,65
1657887477,1023,366,66
1657887479,1023,360,67
1657887481,1021,351,65
1657887483,1023,370,62
1657887485,1023,361,57
1657887487,1023,367,55
1657887489,1023,369,53
1657887491,1023,359,54
1657887493,1022,359,61
1657887495,1023,368,66
1657887497,1023,364,68
1657887499,1023,361,65
1657887501,1021,359,65
1657887503,1023,368,65
1657887505,1023,359,59
1657887508,1023,359,54
1657887510,1023,367,52
1657887512,1022,367,56
1657887514,1022,358,60
1657887516,1023,360,64
1657887518,1023,365,67
1657887520,1016,363,66
1657887522,1023,373,65
1657887524,1023,361,63
1657887526,1023,365,60
1657887528,1023,359,55
1657887530,1023,364,53
1657887532,1023,364,54
1657887534,1023,365,54
1657887536,1023,366,59
1657887538,1023,375,64
1657887540,1023,369,65
1657887542,1023,360,63
1657887544,1023,368,63
1657887546,1023,367,61
1657887548,1023,371,56
1657887550,1023,372,52
1657887552,1023,366,49
1657887554,1020,352,52
1657887556,1021,367,54
1657887558,1023,369,57
1657887560,1022,367,63
1657887562,1023,370,64
1657887564,1023,361,63
1657887566,1023,363,63
1657887569,1019,351,59
1657887571,1023,365,56
1657887573,1023,361,52
1657887575,1023,367,51
1657887577,1023,368,52
1657887579,1023,360,57
1657887581,1023,363,62
1657887583,1023,366,62
1657887585,1022,369,63
1657887587,1023,362,61
1657887589,1023,362,59
1657887591,1023,366,55
1657887593,1022,361,51
1657887595,1023,370,51
1657887597,1023,367,54
1657887599,1023,363,58
1657887601,1023,346,63
1657887603,1023,354,64
1657887605,1023,364,62
1657887607,1023,363,61
1657887609,1023,359,60
1657887611,1023,356,55
1657887613,1023,374,52
1657887615,1023,352,49
1657887617,1023,370,51
1657887619,1023,367,54
1657887621,1023,363,58
1657887623,1023,365,62
1657887625,1023,369,63
1657887628,1023,363,62
1657887630,1021,357,62
1657887632,1022,368,58
1657887634,1023,353,56
1657887636,1023,362,52
1657887638,1023,362,48
1657887640,1023,369,51
1657887642,1023,355,54
1657887644,1020,360,58
1657887646,1023,370,63
1657887648,1023,373,63
1657887650,1023,363,61
1657887652,1023,378,60
1657887654,1023,371,57
1657887656,1023,366,53
1657887658,1023,365,50
1657887660,1023,367,51
1657887662,1023,366,52
1657887664,1022,362,56
1657887666,1023,364,62
1657887668,1023,366,64
1657887670,1023,367,63
1657887672,1023,372,61
1657887674,1023,365,58
1657887676,1023,351,56
1657887678,1023,370,52
1657887680,1023,366,49
1657887682,1023,368,49
1657887685,1023,361,53
1657887687,1023,370,58
1657887689,1023,369,60
1657887691,1023,360,65
1657887693,1017,367,63
1657887695,1023,362,60
1657887697,1023,365,62
1657887699,1023,370,56
1657887701,1023,366,52
1657887703,1023,363,49
1657887705,1023,362,52
1657887707,1023,368,55
1657887709,1023,369,60
1657887711,1023,362,63
1657887713,1023,363,63
1657887715,1023,368,62
1657887717,1023,371,62
1657887719,1023,387,57
1657887721,1023,365,53
1657887723,1021,357,51
1657887725,1023,364,53
1657887727,1023,370,56
1657887729,1023,370,62
1657887732,1023,366,63
1657887734,1023,366,65
1657887736,1023,364,62
1657887738,1023,355,62
1657887740,1023,355,59
1657887742,1023,360,54
1657887744,1023,368,52
1657887746,1023,362,53
1657887748,1023,368,54
1657887750,1004,368,59
1657887752,1023,356,64
1657887754,1023,357,62
1657887756,1023,366,62
1657887758,1023,371,62
1657887760,1000,366,58
1657887762,1023,365,54
1657887764,1023,363,51
1657887766,1023,357,50
1657887768,1023,366,52
1657887770,1023,370,54
1657887772,1023,368,59
1657887774,1023,356,63
1657887776,1023,367,62
1657887778,1023,369,60
1657887780,1023,367,59
1657887782,1023,366,57
1657887784,1023,371,51
1657887786,1023,366,48
1657887789,1023,361,48
1657887791,1023,364,48
1657887793,1023,366,53
1657887795,1023,363,57
1657887797,1023,368,61
1657887799,1023,368,62
1657887801,1023,355,63
1657887803,1023,368,61
1657887805,1021,360,59
1657887807,1023,362,59
1657887809,1023,363,55
1657887811,1023,371,52
1657887813,1023,366,48
1657887815,1023,371,48
1657887817,1022,355,49
1657887819,1023,359,54
1657887822,1023,367,60
1657887824,1023,360,61
1657887826,1023,364,59
1657887828,1023,358,61
1657887830,1023,354,58
1657887832,1023,370,56
1657887834,1022,378,53
1657887836,1023,367,49
1657887838,1023,368,48
1657887840,1022,369,51
1657887842,1023,359,54
1657887844,1023,361,57
1657887846,1023,366,62
1657887848,1023,368,61
1657887850,1023,367,61
1657887852,1023,364,60
1657887854,1023,359,57
1657887856,1023,351,56
1657887858,1023,367,53
1657887860,1023,365,49
1657887862,1023,357,47
1657887864,1023,362,51
1657887866,1023,363,50
1657887868,1023,364,53
1657887871,1023,348,56
1657887873,1023,361,59
1657887875,1023,370,62
1657887877,1023,373,58
1657887879,1023,363,59
1657887881,1023,360,59
1657887883,1023,372,58
1657887885,1023,359,54
1657887887,1023,359,51
1657887889,1023,366,47
1657887891,1023,372,49
1657887893,1023,358,51
1657887896,1023,365,52
1657887898,1023,369,58
1657887900,1023,365,60
1657887902,1023,363,63
1657887904,1023,360,60
1657887906,1023,369,61
1657887909,1023,361,61
1657887911,1023,362,61
1657887913,1023,368,59
1657887915,1023,362,54
1657887917,1023,363,52
1657887919,1022,372,51
1657887921,1023,369,50
1657887923,1018,377,54
1657887926,1023,356,54
1657887928,1023,356,58
1657887930,1023,362,61
1657887932,1023,364,64
1657887934,1023,367,64
1657887936,1023,369,62
1657887938,1023,381,63
1657887940,1023,360,62
1657887942,1023,362,57
1657887944,1023,365,54
1657887946,1023,361,50
1657887948,1023,353,51
1657887951,1023,356,53
1657887953,1023,371,56
1657887955,1022,356,61
1657887957,1023,351,67
1657887959,1023,360,64
1657887961,1023,375,63
1657887963,1023,374,64
1657887965,1023,368,62
1657887967,1023,366,56
1657887969,1023,357,53
1657887971,1023,359,51
1657887973,1021,357,52
1657887975,1023,356,56
1657887977,1023,374,59
1657887979,1023,372,64
1657887981,1023,363,64
1657887983,1023,367,64
1657887986,1023,365,64
1657887988,1023,365,63
1657887990,1022,370,57
1657887992,1023,367,54
1657887994,1023,366,52
1657887996,1023,365,53
1657887998,1023,380,54
1657888000,1023,354,60
1657888002,1023,367,64
1657888004,1023,374,66
1657888006,1023,361,63
1657888008,1023,360,63
1657888010,1023,372,62
1657888013,1023,371,58
1657888015,1023,372,56
1657888017,1023,364,52
1657888019,1023,365,51
1657888021,1023,367,56
1657888023,1023,361,61
1657888025,1023,366,64
1657888027,1023,371,63
1657888029,1022,360,63
1657888031,1023,366,61
1657888033,1023,362,60
1657888035,1023,377,58
1657888038,1023,360,54
1657888040,1023,364,52
1657888042,1023,362,50
1657888044,1023,353,53
1657888046,1023,354,56
1657888048,1023,365,58
1657888050,1023,364,64
1657888052,1023,371,66
1657888054,1023,364,62
1657888056,1023,370,62
1657888058,1023,365,60
1657888060,1005,361,58
1657888062,1023,366,55
1657888064,1023,364,51
1657888066,1023,358,51
1657888068,1023,363,53
1657888071,1023,366,58
1657888073,1023,364,61
1657888075,1023,365,63
1657888077,1023,369,65
1657888079,1023,364,62
1657888081,1023,377,61
1657888083,1023,369,58
1657888085,1023,368,55
1657888087,1023,352,50
1657888089,1023,367,51
1657888092,1023,357,53
1657888094,1023,371,58
1657888096,1023,368,62
1657888098,1023,365,67
1657888100,1023,363,62
1657888102,1023,362,63
1657888104,1023,366,61
1657888106,1023,364,60
1657888108,1023,364,56
1657888110,1023,368,52
1657888112,1023,360,50
1657888114,1023,360,52
1657888116,1020,371,58
1657888118,1023,369,60
1657888120,1023,362,63
1657888122,1023,368,67
1657888124,1021,358,64
1657888126,1021,366,62
1657888128,1023,367,59
1657888131,1023,365,54
1657888133,1023,372,52
1657888135,1023,371,52
1657888137,1023,375,53
1657888139,1023,371,58
1657888141,1023,369,62
1657888143,1023,360,66
1657888145,1017,360,65
1657888147,1023,374,63
1657888149,1023,371,63
1657888151,1023,369,59
1657888153,1023,372,56
1657888155,1023,369,53
1657888157,1023,359,56
1657888159,1021,363,56
1657888161,1023,375,62
1657888163,1023,360,65
1657888165,1023,367,66
1657888167,1023,365,65
1657888169,1023,372,64
1657888171,1023,363,62
1657888173,1023,368,56
1657888176,1023,373,52
1657888178,1023,371,53
1657888180,1023,363,52
1657888182,1023,364,60
1657888184,1022,366,62
1657888186,1023,364,65
1657888188,1023,372,64
1657888190,1023,364,61
1657888192,1023,359,60
1657888194,1023,360,58
1657888196,1023,363,53
1657888198,1023,369,52
1657888200,1023,364,50
1657888202,1023,370,52
1657888204,1023,370,53
1657888206,1023,369,55
1657888208,1023,363,61
1657888210,1023,369,62
1657888212,1023,373,63
1657888214,1023,365,63
1657888216,1023,369,61
1657888218,1023,366,61
1657888220,1023,368,55
1657888222,1023,365,54
1657888224,1021,365,50
1657888226,1023,362,51
1657888229,1023,365,53
1657888231,1023,365,55
1657888233,1023,362,60
1657888235,1023,366,63
1657888237,1023,356,62
1657888239,1021,365,64
1657888241,1023,367,60
1657888243,1023,359,60
1657888245,1023,363,56
1657888247,1023,368,52
1657888249,1023,370,49
1657888251,1023,365,49
1657888253,1023,372,54
1657888255,1023,373,57
1657888257,1023,361,60
1657888259,1023,363,64
1657888261,1023,364,62
1657888264,1023,370,61
1657888266,1023,368,59
1657888268,1023,369,60
1657888270,1023,370,56
1657888272,1023,360,53
1657888274,1023,365,51
1657888276,1023,358,49
1657888278,1023,361,50
1657888280,1023,361,56
1657888282,1023,357,61
1657888284,1014,364,64
1657888286,1023,373,64
1657888288,1023,365,64
1657888290,1021,366,61
1657888292,1023,376,4
1657888294,1023,356,4
1657888296,1023,356,4
1657888298,1022,364,4
1657888300,1023,358,4
1657888302,1023,370,4
1657888304,1023,356,4
1657888306,1023,366,4
1657888308,1023,372,4
1657888310,1023,346,4
1657888313,1023,364,4
1657888315,1023,375,4
1657888317,1023,372,4
1657888319,1023,366,4
1657888321,1023,366,4
1657888323,1023,369,4
1657888325,1023,361,4
1657888327,1023,362,4
1657888329,1023,359,4
1657888331,1023,359,4
1657888333,1023,372,4
1657888335,1023,367,4
1657888337,1023,370,4
1657888339,1018,365,4
1657888341,1023,364,4
1657888343,1023,364,4
1657888345,1023,371,4
1657888347,1023,377,4
1657888349,1023,364,4
1657888351,1023,367,4
1657888353,1023,378,4
1657888355,1023,369,4
1657888357,1023,372,4
1657888359,1023,369,4
1657888361,1023,372,4
1657888364,1023,360,4
1657888366,1023,358,4
1657888368,1023,375,4
1657888370,1023,369,4
1657888372,1023,362,4
1657888374,1023,363,4
1657888376,1023,373,4
1657888378,1022,371,4
1657888380,1023,361,4
1657888382,1022,361,4
1657888384,1023,364,4
1657888386,1023,364,4
1657888388,1023,366,4
1657888390,1023,366,4
1657888392,1023,373,4
1657888394,1023,375,4
1657888396,1023,368,4
1657888399,1023,375,4
1657888401,1023,371,4
1657888403,1023,361,4
1657888405,1023,358,4
1657888407,1023,370,4
1657888409,1023,357,4
1657888411,1023,365,4
1657888414,1023,363,4
1657888416,1003,367,4
1657888418,1023,379,4
1657888420,1023,365,4
1657888422,1023,365,4
1657888424,1023,363,4
1657888426,1023,360,4
1657888428,1023,361,4
1657888430,1023,374,4
1657888432,1015,367,4
1657888434,1023,361,4
1657888436,1023,367,4
1657888438,1023,373,4
1657888440,1023,356,4
1657888442,1023,356,4
1657888444,1023,363,4
1657888446,1023,368,4
1657888448,1023,359,4
1657888451,1023,365,4
1657888453,1023,367,4
1657888455,1023,375,4
1657888457,1023,366,4
1657888459,1023,370,4
1657888461,1023,373,4
1657888463,1023,367,4
1657888465,1023,377,4
1657888467,1023,363,4
1657888469,1023,370,4
1657888471,1023,380,4
1657888473,1023,375,4
1657888475,1023,378,4
1657888477,1023,374,4
1657888479,1023,377,4
1657888481,1023,366,4
1657888483,1023,363,4
1657888485,1022,373,4
1657888487,1023,376,4
1657888489,1023,369,4
1657888491,1011,371,4
1657888493,1023,375,4
1657888495,1023,372,4
1657888497,1023,378,4
1657888500,1023,369,4
1657888502,1023,374,4
1657888504,1023,372,4
1657888506,1023,371,4
1657888508,1023,366,4
1657888510,1023,375,4
1657888512,1023,375,4
1657888514,1023,378,4
1657888516,1023,370,4
1657888518,1023,379,4
1657888520,1023,375,4
1657888522,1023,367,4
1657888524,1023,368,4
1657888526,1023,384,4
1657888528,1023,377,4
1657888530,1023,378,4
1657888532,1023,374,4
1657888534,1023,375,4
1657888536,1023,380,4
1657888538,1023,368,4
1657888540,1022,363,4
1657888542,1023,377,4
1657888544,1023,377,4
1657888547,1023,391,4
1657888549,1023,378,4
1657888551,1023,378,4
1657888553,1023,385,4
1657888555,1023,380,4
1657888557,1023,370,4
1657888559,1023,387,4
1657888561,1023,374,4
1657888563,1023,373,4
1657888565,1023,377,4
1657888567,1022,377,4
1657888569,1023,377,4
1657888571,1023,376,4
1657888573,1023,386,4
1657888575,1023,370,4
1657888577,1023,377,4
1657888579,1023,385,4
1657888581,1023,376,4
1657888583,1023,385,4
1657888585,1023,386,4
1657888587,1023,390,4
1657888589,1023,383,4
1657888591,1023,374,4
1657888593,1023,373,4
1657888595,1023,386,4
1657888598,1023,377,4
1657888600,1023,383,4
1657888602,1023,386,4
1657888604,1023,388,4
1657888606,1023,385,4
1657888608,1023,392,4
1657888610,1023,388,4
1657888612,1023,382,4
1657888614,1022,383,4
1657888616,1023,391,4
1657888618,1023,388,4
1657888620,1023,387,4
1657888623,1023,388,4
1657888625,1023,387,4
1657888627,1023,377,4
1657888629,1023,387,4
1657888631,1023,387,4
1657888633,1023,393,4
1657888635,1023,394,4
1657888637,1023,390,4
1657888639,1023,388,4
1657888641,1023,380,4
1657888643,1023,390,4
1657888645,1023,401,4
1657888647,1023,381,4
1657888649,1023,386,4
1657888651,1023,394,4
1657888653,1023,396,4
1657888656,1023,404,4
1657888658,1023,399,4
1657888660,1023,391,4
1657888662,1023,393,4
1657888664,1023,394,4
1657888667,1023,392,4
1657888669,1023,392,4
1657888671,1023,398,4
1657888673,1023,398,4
1657888675,1023,397,4
1657888678,1023,390,4
1657888680,1023,400,4
1657888682,1023,398,4
1657888684,1023,398,4
1657888686,1023,407,4
1657888688,1023,472,4
1657888690,1023,692,4
